dataset_id,tier,scale,algorithm,track,status,n_runs,build_time_s,qps,lat_p50_ms,lat_p95_ms,lat_p99_ms,rss_mb,index_bytes,bytes_per_insert,recall_at_k,recall_at_k_id_overlap,recall_at_k_tie_aware,update_latency_ms,energy_proxy,error_bits_min_hamming,error_bits_prefix_gap,hamming_audit_gap,online_accuracy,online_f1,adaptation_lag_steps
core:adversarial,desktop,1M,core256/insert,core,ok,5,0.0587021248,3430984.202018,0.0002458,0.0003186,0.0003532,58.17578125,300464.0,1.50232,,,,,,,,,,,
core:adversarial,desktop,1M,core256/match_batch,core,ok,5,0.0007148578,289310802.7405158,3.5744e-06,3.5744e-06,3.5744e-06,58.17578125,300464.0,1.50232,,,,,,,256.0,,,,
core:adversarial,desktop,1M,core256/predict,core,ok,5,0.0066714658,29983608.209890597,1.3999999999999998e-05,1.98e-05,2.34e-05,58.17578125,300464.0,1.50232,,,,,,,,,,,
core:adversarial,desktop,1M,core256/probe,core,ok,5,0.0065010274000000005,30807204.0662282,1.3999999999999998e-05,1.8800000000000003e-05,2.0799999999999997e-05,58.17578125,300464.0,1.50232,,,,,,,256.0,,,,
core:adversarial,edge,1M,core256/insert,core,ok,5,0.059603578000000004,3363248.4102096,0.0002476,0.000323,0.0003546,58.17578125,300464.0,1.50232,,,,,,,,,,,
core:adversarial,edge,1M,core256/match_batch,core,ok,5,0.0007969580000000001,250967888.51997644,3.9846e-06,3.9846e-06,3.9846e-06,58.17578125,300464.0,1.50232,,,,,,,256.0,,,,
core:adversarial,edge,1M,core256/predict,core,ok,5,0.0065461586,30570451.5343288,1.38e-05,1.94e-05,2.12e-05,58.17578125,300464.0,1.50232,,,,,,,,,,,
core:adversarial,edge,1M,core256/probe,core,ok,5,0.0068272704,29323738.461821996,1.4599999999999999e-05,1.98e-05,2.1799999999999998e-05,58.17578125,300464.0,1.50232,,,,,,,256.0,,,,
core:adversarial,server,1M,core256/insert,core,ok,5,0.0582188868,3490366.8293392,0.00023579999999999999,0.000326,0.0003726,58.17578125,300464.0,1.50232,,,,,,,,,,,
core:adversarial,server,1M,core256/match_batch,core,ok,5,0.0006789022000000001,308645422.3061648,3.3944e-06,3.3944e-06,3.3944e-06,58.17578125,300464.0,1.50232,,,,,,,256.0,,,,
core:adversarial,server,1M,core256/predict,core,ok,5,0.006756554200000001,29728949.060021996,1.5000000000000002e-05,1.9e-05,2.24e-05,58.17578125,300464.0,1.50232,,,,,,,,,,,
core:adversarial,server,1M,core256/probe,core,ok,5,0.0067210989999999995,29856975.8822544,1.5000000000000002e-05,1.96e-05,2.26e-05,58.17578125,300464.0,1.50232,,,,,,,256.0,,,,
core:clustered,desktop,1M,core256/insert,core,ok,5,0.160964205,1242798.522667,0.0007863999999999999,0.000965,0.0011876,58.17578125,12346648.4,61.733242,,,,,,,,,,,
core:clustered,desktop,1M,core256/match_batch,core,ok,5,0.001757907,120199661.410484,8.7896e-06,8.7896e-06,8.7896e-06,58.17578125,12346648.4,61.733242,,,,,,,254.609919,,,,
core:clustered,desktop,1M,core256/predict,core,ok,5,0.0077748784,25784922.0904946,2.04e-05,3.08e-05,3.8199999999999993e-05,58.17578125,12346648.4,61.733242,,,,,,,,,,,
core:clustered,desktop,1M,core256/probe,core,ok,5,0.0077582238,25850241.7699628,2.02e-05,3.04e-05,3.74e-05,58.17578125,12346648.4,61.733242,,,,,,,254.609919,,,,
core:clustered,edge,1M,core256/insert,core,ok,5,0.165494262,1209264.3879736,0.0008244,0.000932,0.0011346,58.17578125,12346648.4,61.733242,,,,,,,,,,,
core:clustered,edge,1M,core256/match_batch,core,ok,5,0.0018375269999999998,112580448.8360298,9.1876e-06,9.1876e-06,9.1876e-06,58.17578125,12346648.4,61.733242,,,,,,,254.609919,,,,
core:clustered,edge,1M,core256/predict,core,ok,5,0.0078120226,25648950.7550668,2.04e-05,3.06e-05,3.66e-05,58.17578125,12346648.4,61.733242,,,,,,,,,,,
core:clustered,edge,1M,core256/probe,core,ok,5,0.007928024,25291012.1248782,2.0600000000000003e-05,3.08e-05,3.7199999999999996e-05,58.17578125,12346648.4,61.733242,,,,,,,254.609919,,,,
core:clustered,server,1M,core256/insert,core,ok,5,0.16663412260000002,1203201.9744722,0.0007722,0.0010664,0.0012867999999999998,58.17578125,12346648.4,61.733242,,,,,,,,,,,
core:clustered,server,1M,core256/match_batch,core,ok,5,0.0018396322,113008934.3673636,9.1982e-06,9.1982e-06,9.1982e-06,58.17578125,12346648.4,61.733242,,,,,,,254.609919,,,,
