track,dataset_id,tier,scale,algorithm,status,qps,lat_p95_ms,index_mb,rss_mb,bytes_per_insert,recall_at_k,error_bits_min_hamming,qps_per_index_mb,qps_per_rss_mb
ann,openml:adult,desktop,1M,hnswlib-l2-bits,ok,67876.71938807763,0.012874603271484375,1.52587890625,373.32421875,32.0,0.9921875,0.017578125,44483.68681817056,181.8170801116225
ann,openml:adult,desktop,1M,nmslib-hnsw-l2-bits,ok,27507.508076189013,0.03790855407714844,1.52587890625,386.1953125,32.0,1.0,0.0078125,18027.32049281123,71.22693410782662
ann,openml:adult,desktop,1M,reference-exact-hamming,ok,98.4554750463558,30.32207489013672,1.52587890625,373.32421875,32.0,1.0,0.0,64.52378012637973,0.2637264610798996
ann,openml:adult,desktop,1M,faiss-binary-flat,ok,69.03751988721675,33.41412544250488,1.52587890625,373.32421875,32.0,1.0,0.0,45.244429033286366,0.1849264430750697
ann,openml:adult,edge,1M,hnswlib-l2-bits,ok,57437.77811062373,0.015020370483398438,1.52587890625,387.9375,32.0,0.9921875,0.017578125,37642.422262578366,148.05936036249068
ann,openml:adult,edge,1M,nmslib-hnsw-l2-bits,ok,20469.38050937929,0.051975250244140625,1.52587890625,393.34765625,32.0,0.9921875,0.017578125,13414.813210626811,52.03890295044637
ann,openml:adult,edge,1M,reference-exact-hamming,ok,206.68261700779422,4.975080490112305,1.52587890625,387.9375,32.0,1.0,0.0,135.451519882228,0.5327729776260203
ann,openml:adult,edge,1M,faiss-binary-flat,ok,54.8252370797888,35.980939865112305,1.52587890625,387.9375,32.0,1.0,0.0,35.93026737261039,0.1413249223903046
ann,openml:adult,server,100M,hnswlib-l2-bits,ok,75791.75718218395,0.014066696166992188,12.20703125,1680.94921875,32.0,0.984375,0.01953125,6208.860748364509,45.08866558059665
ann,openml:adult,server,100M,nmslib-hnsw-l2-bits,ok,27501.28465807223,0.03695487976074219,12.20703125,1762.609375,32.0,0.9765625,0.024739583333333332,2252.905239189277,15.602597517145414
ann,openml:adult,server,100M,reference-exact-hamming,ok,22.151172926689096,102.70881652832031,12.20703125,1680.94921875,32.0,1.0,0.0,1.8146240861543708,0.01317777638943865
ann,openml:adult,server,100M,faiss-binary-flat,ok,15.14934053554339,105.96799850463867,12.20703125,1680.94921875,32.0,1.0,0.0,1.2410339766717144,0.009012372513435507
ann,openml:adult,server,10M,hnswlib-l2-bits,ok,54929.879728865584,0.01621246337890625,6.103515625,867.78515625,32.0,0.9921875,0.03515625,8999.711494777337,63.298939067172576
ann,openml:adult,server,10M,nmslib-hnsw-l2-bits,ok,22480.8547291285,0.0400543212890625,6.103515625,948.5703125,32.0,0.515625,101.51171875,3683.2632388204133,23.699724135240107
ann,openml:adult,server,10M,reference-exact-hamming,ok,49.52234151438652,22.304058074951172,6.103515625,867.78515625,32.0,1.0,0.0,8.113740433717087,0.057067513955170304
ann,openml:adult,server,10M,faiss-binary-flat,ok,22.527462581180124,62.79706954956055,6.103515625,867.78515625,32.0,1.0,0.0,3.6908994693005517,0.0259597233473422
ann,openml:adult,server,1M,hnswlib-l2-bits,ok,75783.73321099623,0.014066696166992188,1.52587890625,325.57421875,32.0,0.9921875,0.017578125,49665.62739715849,232.7694542336861
ann,openml:adult,server,1M,nmslib-hnsw-l2-bits,ok,9177.084455460354,0.10395050048828125,1.52587890625,367.94140625,32.0,0.578125,118.501953125,6014.294068730497,24.941700769673442
ann,openml:adult,server,1M,reference-exact-hamming,ok,212.48556353678407,4.81104850769043,1.52587890625,325.57421875,32.0,1.0,0.0,139.2545389194668,0.6526486168118435
ann,openml:adult,server,1M,faiss-binary-flat,ok,55.89277957651091,35.98594665527344,1.52587890625,325.57421875,32.0,1.0,0.0,36.629892023262194,0.17167446424690502
ann,synthetic_binary256,desktop,1M,nmslib-hnsw-l2-bits,ok,18294.205850782888,0.06794929504394531,1.52587890625,373.11328125,32.0,0.9,0.275390625,11989.290746369074,49.03123734832982
ann,synthetic_binary256,desktop,1M,hnswlib-l2-bits,ok,11686.286252251566,0.10895729064941406,1.52587890625,373.11328125,32.0,0.9421875,0.314453125,7658.724558275587,31.321013856972066
